"ComputerName","DateTime","CounterCategory","CounterName","Instance","Value"
"sfbkamehameha","2018-05-11 02:07:41","processor(_total)","% processor time","_total","38.86"
"sfbkamehameha","2018-05-11 02:07:41","memory","available mbytes",,"930"
"sfbkamehameha","2018-05-11 02:07:41","physicaldisk(0 c:)","avg. disk sec/transfer","0 c:","0"
"sfbkamehameha","2018-05-11 02:07:41","physicaldisk(1 d:)","avg. disk sec/transfer","1 d:","0"
"sfbkamehameha","2018-05-11 02:07:41","physicaldisk(_total)","avg. disk sec/transfer","_total","0"
"sfbkamehameha","2018-05-11 02:07:41","network interface(marvell avastar wireless-ac network controller)","bytes total/sec","marvell avastar wireless-ac network controller","8194.3"
"sfbkamehameha","2018-05-11 02:07:41","network interface(local area connection* 11)","bytes total/sec","local area connection* 11","0"
"sfbkamehameha","2018-05-11 02:07:42","processor(_total)","% processor time","_total","26.04"
"sfbkamehameha","2018-05-11 02:07:42","memory","available mbytes",,"926"
"sfbkamehameha","2018-05-11 02:07:42","physicaldisk(0 c:)","avg. disk sec/transfer","0 c:","0"
"sfbkamehameha","2018-05-11 02:07:42","physicaldisk(1 d:)","avg. disk sec/transfer","1 d:","0"
"sfbkamehameha","2018-05-11 02:07:42","physicaldisk(_total)","avg. disk sec/transfer","_total","0"
"sfbkamehameha","2018-05-11 02:07:42","network interface(marvell avastar wireless-ac network controller)","bytes total/sec","marvell avastar wireless-ac network controller","9566.91"
"sfbkamehameha","2018-05-11 02:07:42","network interface(local area connection* 11)","bytes total/sec","local area connection* 11","0"
"sfbkamehameha","2018-05-11 02:07:43","processor(_total)","% processor time","_total","59.24"
"sfbkamehameha","2018-05-11 02:07:43","memory","available mbytes",,"922"
"sfbkamehameha","2018-05-11 02:07:43","physicaldisk(0 c:)","avg. disk sec/transfer","0 c:","0"
"sfbkamehameha","2018-05-11 02:07:43","physicaldisk(1 d:)","avg. disk sec/transfer","1 d:","0"
"sfbkamehameha","2018-05-11 02:07:43","physicaldisk(_total)","avg. disk sec/transfer","_total","0"
"sfbkamehameha","2018-05-11 02:07:43","network interface(marvell avastar wireless-ac network controller)","bytes total/sec","marvell avastar wireless-ac network controller","8449.04"
"sfbkamehameha","2018-05-11 02:07:43","network interface(local area connection* 11)","bytes total/sec","local area connection* 11","0"
"sfbkamehameha","2018-05-11 02:07:44","processor(_total)","% processor time","_total","28.41"
"sfbkamehameha","2018-05-11 02:07:44","memory","available mbytes",,"922"
"sfbkamehameha","2018-05-11 02:07:44","physicaldisk(0 c:)","avg. disk sec/transfer","0 c:","0"
"sfbkamehameha","2018-05-11 02:07:44","physicaldisk(1 d:)","avg. disk sec/transfer","1 d:","0"
"sfbkamehameha","2018-05-11 02:07:44","physicaldisk(_total)","avg. disk sec/transfer","_total","0"
