"ComputerName","DateTime","CounterCategory","CounterName","Instance","Value"
"sfbkamehameha","2018-05-11 02:13:14","processor(_total)","% processor time","_total","54"
"sfbkamehameha","2018-05-11 02:13:14","memory","available mbytes",,"559"
"sfbkamehameha","2018-05-11 02:13:14","physicaldisk(0 c:)","avg. disk sec/transfer","0 c:","0"
"sfbkamehameha","2018-05-11 02:13:14","physicaldisk(1 d:)","avg. disk sec/transfer","1 d:","0"
"sfbkamehameha","2018-05-11 02:13:14","physicaldisk(_total)","avg. disk sec/transfer","_total","0"
"sfbkamehameha","2018-05-11 02:13:14","network interface(marvell avastar wireless-ac network controller)","bytes total/sec","marvell avastar wireless-ac network controller","9746.38"
"sfbkamehameha","2018-05-11 02:13:14","network interface(local area connection* 11)","bytes total/sec","local area connection* 11","0"
"sfbkamehameha","2018-05-11 02:13:15","processor(_total)","% processor time","_total","57.32"
"sfbkamehameha","2018-05-11 02:13:15","memory","available mbytes",,"557"
"sfbkamehameha","2018-05-11 02:13:15","physicaldisk(0 c:)","avg. disk sec/transfer","0 c:","0"
"sfbkamehameha","2018-05-11 02:13:15","physicaldisk(1 d:)","avg. disk sec/transfer","1 d:","0"
"sfbkamehameha","2018-05-11 02:13:15","physicaldisk(_total)","avg. disk sec/transfer","_total","0"
"sfbkamehameha","2018-05-11 02:13:15","network interface(marvell avastar wireless-ac network controller)","bytes total/sec","marvell avastar wireless-ac network controller","9699.98"
"sfbkamehameha","2018-05-11 02:13:15","network interface(local area connection* 11)","bytes total/sec","local area connection* 11","0"
