"ComputerName","DateTime","WholeCounter","CounterCategory","CounterName","Instance","Value"
"sfbkamehameha","2018-05-13 02:29:54","\\sfbkamehameha\processor(_total)\% processor time","processor(_total)","% processor time","_total","7.3"
"sfbkamehameha","2018-05-13 02:29:54","\\sfbkamehameha\memory\available mbytes","memory","available mbytes",,"3242"
"sfbkamehameha","2018-05-13 02:29:54","\\sfbkamehameha\physicaldisk(0 c:)\avg. disk sec/transfer","physicaldisk(0 c:)","avg. disk sec/transfer","0 c:","0"
"sfbkamehameha","2018-05-13 02:29:54","\\sfbkamehameha\physicaldisk(_total)\avg. disk sec/transfer","physicaldisk(_total)","avg. disk sec/transfer","_total","0"
"sfbkamehameha","2018-05-13 02:29:54","\\sfbkamehameha\network interface(marvell avastar wireless-ac network controller)\bytes total/sec","network interface(marvell avastar wireless-ac network controller)","bytes total/sec","marvell avastar wireless-ac network controller","858.94"
"sfbkamehameha","2018-05-13 02:29:54","\\sfbkamehameha\network interface(local area connection* 11)\bytes total/sec","network interface(local area connection* 11)","bytes total/sec","local area connection* 11","0"
"sfbkamehameha","2018-05-13 02:29:55","\\sfbkamehameha\processor(_total)\% processor time","processor(_total)","% processor time","_total","53.62"
"sfbkamehameha","2018-05-13 02:29:55","\\sfbkamehameha\memory\available mbytes","memory","available mbytes",,"3234"
"sfbkamehameha","2018-05-13 02:29:55","\\sfbkamehameha\physicaldisk(0 c:)\avg. disk sec/transfer","physicaldisk(0 c:)","avg. disk sec/transfer","0 c:","0"
"sfbkamehameha","2018-05-13 02:29:55","\\sfbkamehameha\physicaldisk(_total)\avg. disk sec/transfer","physicaldisk(_total)","avg. disk sec/transfer","_total","0"
"sfbkamehameha","2018-05-13 02:29:55","\\sfbkamehameha\network interface(marvell avastar wireless-ac network controller)\bytes total/sec","network interface(marvell avastar wireless-ac network controller)","bytes total/sec","marvell avastar wireless-ac network controller","1010.26"
"sfbkamehameha","2018-05-13 02:29:55","\\sfbkamehameha\network interface(local area connection* 11)\bytes total/sec","network interface(local area connection* 11)","bytes total/sec","local area connection* 11","0"
"sfbkamehameha","2018-05-13 02:29:56","\\sfbkamehameha\processor(_total)\% processor time","processor(_total)","% processor time","_total","16.92"
"sfbkamehameha","2018-05-13 02:29:56","\\sfbkamehameha\memory\available mbytes","memory","available mbytes",,"3234"
"sfbkamehameha","2018-05-13 02:29:56","\\sfbkamehameha\physicaldisk(0 c:)\avg. disk sec/transfer","physicaldisk(0 c:)","avg. disk sec/transfer","0 c:","0"
"sfbkamehameha","2018-05-13 02:29:56","\\sfbkamehameha\physicaldisk(_total)\avg. disk sec/transfer","physicaldisk(_total)","avg. disk sec/transfer","_total","0"
"sfbkamehameha","2018-05-13 02:29:56","\\sfbkamehameha\network interface(marvell avastar wireless-ac network controller)\bytes total/sec","network interface(marvell avastar wireless-ac network controller)","bytes total/sec","marvell avastar wireless-ac network controller","859.9"
"sfbkamehameha","2018-05-13 02:29:56","\\sfbkamehameha\network interface(local area connection* 11)\bytes total/sec","network interface(local area connection* 11)","bytes total/sec","local area connection* 11","0"
"sfbkamehameha","2018-05-13 02:29:57","\\sfbkamehameha\processor(_total)\% processor time","processor(_total)","% processor time","_total","7.3"
"sfbkamehameha","2018-05-13 02:29:57","\\sfbkamehameha\memory\available mbytes","memory","available mbytes",,"3236"
"sfbkamehameha","2018-05-13 02:29:57","\\sfbkamehameha\physicaldisk(0 c:)\avg. disk sec/transfer","physicaldisk(0 c:)","avg. disk sec/transfer","0 c:","0"
"sfbkamehameha","2018-05-13 02:29:57","\\sfbkamehameha\physicaldisk(_total)\avg. disk sec/transfer","physicaldisk(_total)","avg. disk sec/transfer","_total","0"
"sfbkamehameha","2018-05-13 02:29:57","\\sfbkamehameha\network interface(marvell avastar wireless-ac network controller)\bytes total/sec","network interface(marvell avastar wireless-ac network controller)","bytes total/sec","marvell avastar wireless-ac network controller","922.91"
"sfbkamehameha","2018-05-13 02:29:57","\\sfbkamehameha\network interface(local area connection* 11)\bytes total/sec","network interface(local area connection* 11)","bytes total/sec","local area connection* 11","0"
"sfbkamehameha","2018-05-13 02:29:58","\\sfbkamehameha\processor(_total)\% processor time","processor(_total)","% processor time","_total","6.48"
"sfbkamehameha","2018-05-13 02:29:58","\\sfbkamehameha\memory\available mbytes","memory","available mbytes",,"3236"
"sfbkamehameha","2018-05-13 02:29:58","\\sfbkamehameha\physicaldisk(0 c:)\avg. disk sec/transfer","physicaldisk(0 c:)","avg. disk sec/transfer","0 c:","0"
"sfbkamehameha","2018-05-13 02:29:58","\\sfbkamehameha\physicaldisk(_total)\avg. disk sec/transfer","physicaldisk(_total)","avg. disk sec/transfer","_total","0"
"sfbkamehameha","2018-05-13 02:29:58","\\sfbkamehameha\network interface(marvell avastar wireless-ac network controller)\bytes total/sec","network interface(marvell avastar wireless-ac network controller)","bytes total/sec","marvell avastar wireless-ac network controller","859.32"
"sfbkamehameha","2018-05-13 02:29:58","\\sfbkamehameha\network interface(local area connection* 11)\bytes total/sec","network interface(local area connection* 11)","bytes total/sec","local area connection* 11","0"
