"ComputerName","DateTime","CounterCategory","CounterName","Instance","Value"
"sfbkamehameha","2018-05-14 06:30:45","processor(_total)","% processor time","_total","16.02"
"sfbkamehameha","2018-05-14 06:30:45","memory","available mbytes",,"3593"
"sfbkamehameha","2018-05-14 06:30:46","processor(_total)","% processor time","_total","29.13"
"sfbkamehameha","2018-05-14 06:30:46","memory","available mbytes",,"3594"
"sfbkamehameha","2018-05-14 06:30:47","processor(_total)","% processor time","_total","18.43"
"sfbkamehameha","2018-05-14 06:30:47","memory","available mbytes",,"3595"
"sfbkamehameha","2018-05-14 06:30:48","processor(_total)","% processor time","_total","26.41"
"sfbkamehameha","2018-05-14 06:30:48","memory","available mbytes",,"3599"
"sfbkamehameha","2018-05-14 06:30:49","processor(_total)","% processor time","_total","70.04"
"sfbkamehameha","2018-05-14 06:30:49","memory","available mbytes",,"3579"
