"ComputerName","DateTime","CounterCategory","CounterName","Instance","Value"
"sfbkamehameha","2018-05-12 06:16:42","processor(_total)","% processor time","_total","39.9"
"sfbkamehameha","2018-05-12 06:16:42","memory","available mbytes",,"4140"
"sfbkamehameha","2018-05-12 06:16:42","physicaldisk(0 c:)","avg. disk sec/transfer","0 c:","0"
"sfbkamehameha","2018-05-12 06:16:42","physicaldisk(_total)","avg. disk sec/transfer","_total","0"
"sfbkamehameha","2018-05-12 06:16:42","network interface(marvell avastar wireless-ac network controller)","bytes total/sec","marvell avastar wireless-ac network controller","5090.66"
"sfbkamehameha","2018-05-12 06:16:42","network interface(local area connection* 11)","bytes total/sec","local area connection* 11","0"
"sfbkamehameha","2018-05-12 06:16:43","processor(_total)","% processor time","_total","22.03"
"sfbkamehameha","2018-05-12 06:16:43","memory","available mbytes",,"4136"
"sfbkamehameha","2018-05-12 06:16:43","physicaldisk(0 c:)","avg. disk sec/transfer","0 c:","0.01"
"sfbkamehameha","2018-05-12 06:16:43","physicaldisk(_total)","avg. disk sec/transfer","_total","0.01"
"sfbkamehameha","2018-05-12 06:16:43","network interface(marvell avastar wireless-ac network controller)","bytes total/sec","marvell avastar wireless-ac network controller","24530.61"
"sfbkamehameha","2018-05-12 06:16:43","network interface(local area connection* 11)","bytes total/sec","local area connection* 11","0"
"sfbkamehameha","2018-05-12 06:16:44","processor(_total)","% processor time","_total","46.54"
"sfbkamehameha","2018-05-12 06:16:44","memory","available mbytes",,"4132"
"sfbkamehameha","2018-05-12 06:16:44","physicaldisk(0 c:)","avg. disk sec/transfer","0 c:","0"
"sfbkamehameha","2018-05-12 06:16:44","physicaldisk(_total)","avg. disk sec/transfer","_total","0"
"sfbkamehameha","2018-05-12 06:16:44","network interface(marvell avastar wireless-ac network controller)","bytes total/sec","marvell avastar wireless-ac network controller","10344.87"
"sfbkamehameha","2018-05-12 06:16:44","network interface(local area connection* 11)","bytes total/sec","local area connection* 11","140.89"
"sfbkamehameha","2018-05-12 06:16:45","processor(_total)","% processor time","_total","14.93"
"sfbkamehameha","2018-05-12 06:16:45","memory","available mbytes",,"4133"
"sfbkamehameha","2018-05-12 06:16:45","physicaldisk(0 c:)","avg. disk sec/transfer","0 c:","0"
"sfbkamehameha","2018-05-12 06:16:45","physicaldisk(_total)","avg. disk sec/transfer","_total","0"
"sfbkamehameha","2018-05-12 06:16:45","network interface(marvell avastar wireless-ac network controller)","bytes total/sec","marvell avastar wireless-ac network controller","304.79"
"sfbkamehameha","2018-05-12 06:16:45","network interface(local area connection* 11)","bytes total/sec","local area connection* 11","0"
"sfbkamehameha","2018-05-12 06:16:46","processor(_total)","% processor time","_total","8.69"
"sfbkamehameha","2018-05-12 06:16:46","memory","available mbytes",,"4138"
"sfbkamehameha","2018-05-12 06:16:46","physicaldisk(0 c:)","avg. disk sec/transfer","0 c:","0"
"sfbkamehameha","2018-05-12 06:16:46","physicaldisk(_total)","avg. disk sec/transfer","_total","0"
"sfbkamehameha","2018-05-12 06:16:46","network interface(marvell avastar wireless-ac network controller)","bytes total/sec","marvell avastar wireless-ac network controller","12373.93"
"sfbkamehameha","2018-05-12 06:16:46","network interface(local area connection* 11)","bytes total/sec","local area connection* 11","0"
