"computerName","WholeCounter","CounterCategory","CounterName","Item","Value","datetime"
"sfbkamehameha","processor(_total)-% processor time","processor(_total)","% processor time","_total","11.86","2018-05-3 11:48:02"
"sfbkamehameha","memory-available mbytes","memory","available mbytes",,"3966","2018-05-3 11:48:02"
"sfbkamehameha","network interface(marvell avastar wireless-ac network controller)-bytes total/sec","network interface(marvell avastar wireless-ac network controller)","bytes total/sec","marvell avastar wireless-ac network controller","4680.89","2018-05-3 11:48:02"
"sfbkamehameha","network interface(local area connection* 11)-bytes total/sec","network interface(local area connection* 11)","bytes total/sec","local area connection* 11","0","2018-05-3 11:48:02"
"sfbkamehameha","processor(_total)-% processor time","processor(_total)","% processor time","_total","4.14","2018-05-3 11:48:03"
"sfbkamehameha","memory-available mbytes","memory","available mbytes",,"3966","2018-05-3 11:48:03"
"sfbkamehameha","network interface(marvell avastar wireless-ac network controller)-bytes total/sec","network interface(marvell avastar wireless-ac network controller)","bytes total/sec","marvell avastar wireless-ac network controller","1688.18","2018-05-3 11:48:03"
"sfbkamehameha","network interface(local area connection* 11)-bytes total/sec","network interface(local area connection* 11)","bytes total/sec","local area connection* 11","0","2018-05-3 11:48:03"
"sfbkamehameha","processor(_total)-% processor time","processor(_total)","% processor time","_total","30.4","2018-05-3 11:48:04"
"sfbkamehameha","memory-available mbytes","memory","available mbytes",,"3958","2018-05-3 11:48:04"
"sfbkamehameha","network interface(marvell avastar wireless-ac network controller)-bytes total/sec","network interface(marvell avastar wireless-ac network controller)","bytes total/sec","marvell avastar wireless-ac network controller","705.57","2018-05-3 11:48:04"
"sfbkamehameha","network interface(local area connection* 11)-bytes total/sec","network interface(local area connection* 11)","bytes total/sec","local area connection* 11","0","2018-05-3 11:48:04"
"sfbkamehameha","processor(_total)-% processor time","processor(_total)","% processor time","_total","4.04","2018-05-3 11:48:05"
"sfbkamehameha","memory-available mbytes","memory","available mbytes",,"3959","2018-05-3 11:48:05"
"sfbkamehameha","network interface(marvell avastar wireless-ac network controller)-bytes total/sec","network interface(marvell avastar wireless-ac network controller)","bytes total/sec","marvell avastar wireless-ac network controller","156.78","2018-05-3 11:48:05"
"sfbkamehameha","network interface(local area connection* 11)-bytes total/sec","network interface(local area connection* 11)","bytes total/sec","local area connection* 11","0","2018-05-3 11:48:05"
"sfbkamehameha","processor(_total)-% processor time","processor(_total)","% processor time","_total","4.74","2018-05-3 11:48:06"
"sfbkamehameha","memory-available mbytes","memory","available mbytes",,"3971","2018-05-3 11:48:06"
"sfbkamehameha","network interface(marvell avastar wireless-ac network controller)-bytes total/sec","network interface(marvell avastar wireless-ac network controller)","bytes total/sec","marvell avastar wireless-ac network controller","254.14","2018-05-3 11:48:06"
"sfbkamehameha","network interface(local area connection* 11)-bytes total/sec","network interface(local area connection* 11)","bytes total/sec","local area connection* 11","0","2018-05-3 11:48:06"
