"ComputerName","DateTime","CounterCategory","CounterName","Instance","Value"
"desktop-80til08","2018-05-13 10:27:06","processor(_total)","% processor time","_total","0"
"desktop-80til08","2018-05-13 10:27:06","memory","available mbytes",,"27708"
"desktop-80til08","2018-05-13 10:27:07","processor(_total)","% processor time","_total","0.59"
"desktop-80til08","2018-05-13 10:27:07","memory","available mbytes",,"27709"
"desktop-80til08","2018-05-13 10:27:08","processor(_total)","% processor time","_total","1.38"
"desktop-80til08","2018-05-13 10:27:08","memory","available mbytes",,"27714"
"desktop-80til08","2018-05-13 10:27:09","processor(_total)","% processor time","_total","1.2"
"desktop-80til08","2018-05-13 10:27:09","memory","available mbytes",,"27714"
"desktop-80til08","2018-05-13 10:27:10","processor(_total)","% processor time","_total","0.19"
"desktop-80til08","2018-05-13 10:27:10","memory","available mbytes",,"27714"
