"ComputerName","DateTime","CounterCategory","CounterName","Instance","Value"
"sfbkamehameha","2018-05-14 08:20:55","processor(_total)","% processor time","_total","36.76"
"sfbkamehameha","2018-05-14 08:20:55","memory","available mbytes",,"3027"
"sfbkamehameha","2018-05-14 08:20:56","processor(_total)","% processor time","_total","11.04"
"sfbkamehameha","2018-05-14 08:20:56","memory","available mbytes",,"3031"
"sfbkamehameha","2018-05-14 08:20:57","processor(_total)","% processor time","_total","9.03"
"sfbkamehameha","2018-05-14 08:20:57","memory","available mbytes",,"3031"
"sfbkamehameha","2018-05-14 08:20:58","processor(_total)","% processor time","_total","6.32"
"sfbkamehameha","2018-05-14 08:20:58","memory","available mbytes",,"3032"
"sfbkamehameha","2018-05-14 08:20:59","processor(_total)","% processor time","_total","12.9"
"sfbkamehameha","2018-05-14 08:20:59","memory","available mbytes",,"3039"
