"computerName","datetime","CounterCategory","CounterName","Instance","Value"
"sfbkamehameha","2018-05-6 10:58:49","processor(_total)","% processor time","_total","7.29"
"sfbkamehameha","2018-05-6 10:58:49","memory","available mbytes",,"3367"
"sfbkamehameha","2018-05-6 10:58:49","physicaldisk(0 c:)","avg. disk sec/transfer","0 c:","0"
"sfbkamehameha","2018-05-6 10:58:49","physicaldisk(1 d:)","avg. disk sec/transfer","1 d:","0"
"sfbkamehameha","2018-05-6 10:58:49","physicaldisk(_total)","avg. disk sec/transfer","_total","0"
"sfbkamehameha","2018-05-6 10:58:49","network interface(marvell avastar wireless-ac network controller)","bytes total/sec","marvell avastar wireless-ac network controller","300.99"
"sfbkamehameha","2018-05-6 10:58:49","network interface(local area connection* 11)","bytes total/sec","local area connection* 11","0"
"sfbkamehameha","2018-05-6 10:58:50","processor(_total)","% processor time","_total","6.51"
"sfbkamehameha","2018-05-6 10:58:50","memory","available mbytes",,"3364"
"sfbkamehameha","2018-05-6 10:58:50","physicaldisk(0 c:)","avg. disk sec/transfer","0 c:","0.01"
"sfbkamehameha","2018-05-6 10:58:50","physicaldisk(1 d:)","avg. disk sec/transfer","1 d:","0"
"sfbkamehameha","2018-05-6 10:58:50","physicaldisk(_total)","avg. disk sec/transfer","_total","0.01"
"sfbkamehameha","2018-05-6 10:58:50","network interface(marvell avastar wireless-ac network controller)","bytes total/sec","marvell avastar wireless-ac network controller","301.82"
"sfbkamehameha","2018-05-6 10:58:50","network interface(local area connection* 11)","bytes total/sec","local area connection* 11","0"
"sfbkamehameha","2018-05-6 10:58:51","processor(_total)","% processor time","_total","0.41"
"sfbkamehameha","2018-05-6 10:58:51","memory","available mbytes",,"3365"
"sfbkamehameha","2018-05-6 10:58:51","physicaldisk(0 c:)","avg. disk sec/transfer","0 c:","0.03"
"sfbkamehameha","2018-05-6 10:58:51","physicaldisk(1 d:)","avg. disk sec/transfer","1 d:","0"
"sfbkamehameha","2018-05-6 10:58:51","physicaldisk(_total)","avg. disk sec/transfer","_total","0.03"
"sfbkamehameha","2018-05-6 10:58:51","network interface(marvell avastar wireless-ac network controller)","bytes total/sec","marvell avastar wireless-ac network controller","307.07"
"sfbkamehameha","2018-05-6 10:58:51","network interface(local area connection* 11)","bytes total/sec","local area connection* 11","0"
"sfbkamehameha","2018-05-6 10:58:52","processor(_total)","% processor time","_total","2.36"
"sfbkamehameha","2018-05-6 10:58:52","memory","available mbytes",,"3366"
"sfbkamehameha","2018-05-6 10:58:52","physicaldisk(0 c:)","avg. disk sec/transfer","0 c:","0.03"
"sfbkamehameha","2018-05-6 10:58:52","physicaldisk(1 d:)","avg. disk sec/transfer","1 d:","0"
"sfbkamehameha","2018-05-6 10:58:52","physicaldisk(_total)","avg. disk sec/transfer","_total","0.03"
"sfbkamehameha","2018-05-6 10:58:52","network interface(marvell avastar wireless-ac network controller)","bytes total/sec","marvell avastar wireless-ac network controller","303.28"
"sfbkamehameha","2018-05-6 10:58:52","network interface(local area connection* 11)","bytes total/sec","local area connection* 11","0"
"sfbkamehameha","2018-05-6 10:58:53","processor(_total)","% processor time","_total","1.52"
"sfbkamehameha","2018-05-6 10:58:53","memory","available mbytes",,"3366"
"sfbkamehameha","2018-05-6 10:58:53","physicaldisk(0 c:)","avg. disk sec/transfer","0 c:","0.02"
"sfbkamehameha","2018-05-6 10:58:53","physicaldisk(1 d:)","avg. disk sec/transfer","1 d:","0"
"sfbkamehameha","2018-05-6 10:58:53","physicaldisk(_total)","avg. disk sec/transfer","_total","0.02"
"sfbkamehameha","2018-05-6 10:58:53","network interface(marvell avastar wireless-ac network controller)","bytes total/sec","marvell avastar wireless-ac network controller","679.97"
"sfbkamehameha","2018-05-6 10:58:53","network interface(local area connection* 11)","bytes total/sec","local area connection* 11","0"
"sfbkamehameha","2018-05-6 10:58:54","processor(_total)","% processor time","_total","1.25"
"sfbkamehameha","2018-05-6 10:58:54","memory","available mbytes",,"3360"
"sfbkamehameha","2018-05-6 10:58:54","physicaldisk(0 c:)","avg. disk sec/transfer","0 c:","0"
"sfbkamehameha","2018-05-6 10:58:54","physicaldisk(1 d:)","avg. disk sec/transfer","1 d:","0"
"sfbkamehameha","2018-05-6 10:58:54","physicaldisk(_total)","avg. disk sec/transfer","_total","0"
"sfbkamehameha","2018-05-6 10:58:54","network interface(marvell avastar wireless-ac network controller)","bytes total/sec","marvell avastar wireless-ac network controller","308.25"
"sfbkamehameha","2018-05-6 10:58:54","network interface(local area connection* 11)","bytes total/sec","local area connection* 11","0"
"sfbkamehameha","2018-05-6 10:58:55","processor(_total)","% processor time","_total","0.04"
"sfbkamehameha","2018-05-6 10:58:55","memory","available mbytes",,"3361"
"sfbkamehameha","2018-05-6 10:58:55","physicaldisk(0 c:)","avg. disk sec/transfer","0 c:","0.01"
"sfbkamehameha","2018-05-6 10:58:55","physicaldisk(1 d:)","avg. disk sec/transfer","1 d:","0"
"sfbkamehameha","2018-05-6 10:58:55","physicaldisk(_total)","avg. disk sec/transfer","_total","0.01"
"sfbkamehameha","2018-05-6 10:58:55","network interface(marvell avastar wireless-ac network controller)","bytes total/sec","marvell avastar wireless-ac network controller","305.47"
"sfbkamehameha","2018-05-6 10:58:55","network interface(local area connection* 11)","bytes total/sec","local area connection* 11","0"
"sfbkamehameha","2018-05-6 10:58:56","processor(_total)","% processor time","_total","5.08"
"sfbkamehameha","2018-05-6 10:58:56","memory","available mbytes",,"3361"
"sfbkamehameha","2018-05-6 10:58:56","physicaldisk(0 c:)","avg. disk sec/transfer","0 c:","0.03"
"sfbkamehameha","2018-05-6 10:58:56","physicaldisk(1 d:)","avg. disk sec/transfer","1 d:","0"
"sfbkamehameha","2018-05-6 10:58:56","physicaldisk(_total)","avg. disk sec/transfer","_total","0.03"
"sfbkamehameha","2018-05-6 10:58:56","network interface(marvell avastar wireless-ac network controller)","bytes total/sec","marvell avastar wireless-ac network controller","307.39"
"sfbkamehameha","2018-05-6 10:58:56","network interface(local area connection* 11)","bytes total/sec","local area connection* 11","0"
"sfbkamehameha","2018-05-6 10:58:57","processor(_total)","% processor time","_total","0.82"
"sfbkamehameha","2018-05-6 10:58:57","memory","available mbytes",,"3365"
"sfbkamehameha","2018-05-6 10:58:57","physicaldisk(0 c:)","avg. disk sec/transfer","0 c:","0.03"
"sfbkamehameha","2018-05-6 10:58:57","physicaldisk(1 d:)","avg. disk sec/transfer","1 d:","0"
"sfbkamehameha","2018-05-6 10:58:57","physicaldisk(_total)","avg. disk sec/transfer","_total","0.03"
"sfbkamehameha","2018-05-6 10:58:57","network interface(marvell avastar wireless-ac network controller)","bytes total/sec","marvell avastar wireless-ac network controller","357.44"
"sfbkamehameha","2018-05-6 10:58:57","network interface(local area connection* 11)","bytes total/sec","local area connection* 11","0"
"sfbkamehameha","2018-05-6 10:58:58","processor(_total)","% processor time","_total","1.18"
"sfbkamehameha","2018-05-6 10:58:58","memory","available mbytes",,"3366"
"sfbkamehameha","2018-05-6 10:58:58","physicaldisk(0 c:)","avg. disk sec/transfer","0 c:","0.02"
"sfbkamehameha","2018-05-6 10:58:58","physicaldisk(1 d:)","avg. disk sec/transfer","1 d:","0"
"sfbkamehameha","2018-05-6 10:58:58","physicaldisk(_total)","avg. disk sec/transfer","_total","0.02"
"sfbkamehameha","2018-05-6 10:58:58","network interface(marvell avastar wireless-ac network controller)","bytes total/sec","marvell avastar wireless-ac network controller","392.2"
"sfbkamehameha","2018-05-6 10:58:58","network interface(local area connection* 11)","bytes total/sec","local area connection* 11","0"
