"computerName","WholeCounter","CounterCategory","CounterName","Item","Value","datetime"
"sfbkamehameha","processor(_total)-% processor time","processor(_total)","% processor time","_total","9.84","2018-05-3 11:49:10"
"sfbkamehameha","memory-available mbytes","memory","available mbytes",,"4037","2018-05-3 11:49:10"
"sfbkamehameha","network interface(marvell avastar wireless-ac network controller)-bytes total/sec","network interface(marvell avastar wireless-ac network controller)","bytes total/sec","marvell avastar wireless-ac network controller","46.13","2018-05-3 11:49:10"
"sfbkamehameha","network interface(local area connection* 11)-bytes total/sec","network interface(local area connection* 11)","bytes total/sec","local area connection* 11","0","2018-05-3 11:49:10"
"sfbkamehameha","processor(_total)-% processor time","processor(_total)","% processor time","_total","6.69","2018-05-3 11:49:11"
"sfbkamehameha","memory-available mbytes","memory","available mbytes",,"4038","2018-05-3 11:49:11"
"sfbkamehameha","network interface(marvell avastar wireless-ac network controller)-bytes total/sec","network interface(marvell avastar wireless-ac network controller)","bytes total/sec","marvell avastar wireless-ac network controller","0","2018-05-3 11:49:11"
"sfbkamehameha","network interface(local area connection* 11)-bytes total/sec","network interface(local area connection* 11)","bytes total/sec","local area connection* 11","0","2018-05-3 11:49:11"
"sfbkamehameha","processor(_total)-% processor time","processor(_total)","% processor time","_total","64.97","2018-05-3 11:49:12"
"sfbkamehameha","memory-available mbytes","memory","available mbytes",,"3829","2018-05-3 11:49:12"
"sfbkamehameha","network interface(marvell avastar wireless-ac network controller)-bytes total/sec","network interface(marvell avastar wireless-ac network controller)","bytes total/sec","marvell avastar wireless-ac network controller","0","2018-05-3 11:49:12"
"sfbkamehameha","network interface(local area connection* 11)-bytes total/sec","network interface(local area connection* 11)","bytes total/sec","local area connection* 11","0","2018-05-3 11:49:12"
"sfbkamehameha","processor(_total)-% processor time","processor(_total)","% processor time","_total","8.17","2018-05-3 11:49:14"
"sfbkamehameha","memory-available mbytes","memory","available mbytes",,"3851","2018-05-3 11:49:14"
"sfbkamehameha","network interface(marvell avastar wireless-ac network controller)-bytes total/sec","network interface(marvell avastar wireless-ac network controller)","bytes total/sec","marvell avastar wireless-ac network controller","36.29","2018-05-3 11:49:14"
"sfbkamehameha","network interface(local area connection* 11)-bytes total/sec","network interface(local area connection* 11)","bytes total/sec","local area connection* 11","0","2018-05-3 11:49:14"
"sfbkamehameha","processor(_total)-% processor time","processor(_total)","% processor time","_total","88.02","2018-05-3 11:49:15"
"sfbkamehameha","memory-available mbytes","memory","available mbytes",,"3797","2018-05-3 11:49:15"
"sfbkamehameha","network interface(marvell avastar wireless-ac network controller)-bytes total/sec","network interface(marvell avastar wireless-ac network controller)","bytes total/sec","marvell avastar wireless-ac network controller","6186.13","2018-05-3 11:49:15"
"sfbkamehameha","network interface(local area connection* 11)-bytes total/sec","network interface(local area connection* 11)","bytes total/sec","local area connection* 11","0","2018-05-3 11:49:15"
"sfbkamehameha","processor(_total)-% processor time","processor(_total)","% processor time","_total","28.82","2018-05-3 11:49:16"
"sfbkamehameha","memory-available mbytes","memory","available mbytes",,"3629","2018-05-3 11:49:16"
"sfbkamehameha","network interface(marvell avastar wireless-ac network controller)-bytes total/sec","network interface(marvell avastar wireless-ac network controller)","bytes total/sec","marvell avastar wireless-ac network controller","45.56","2018-05-3 11:49:16"
"sfbkamehameha","network interface(local area connection* 11)-bytes total/sec","network interface(local area connection* 11)","bytes total/sec","local area connection* 11","0","2018-05-3 11:49:16"
"sfbkamehameha","processor(_total)-% processor time","processor(_total)","% processor time","_total","1.37","2018-05-3 11:49:17"
"sfbkamehameha","memory-available mbytes","memory","available mbytes",,"3670","2018-05-3 11:49:17"
"sfbkamehameha","network interface(marvell avastar wireless-ac network controller)-bytes total/sec","network interface(marvell avastar wireless-ac network controller)","bytes total/sec","marvell avastar wireless-ac network controller","0","2018-05-3 11:49:17"
"sfbkamehameha","network interface(local area connection* 11)-bytes total/sec","network interface(local area connection* 11)","bytes total/sec","local area connection* 11","0","2018-05-3 11:49:17"
"sfbkamehameha","processor(_total)-% processor time","processor(_total)","% processor time","_total","0.57","2018-05-3 11:49:18"
"sfbkamehameha","memory-available mbytes","memory","available mbytes",,"3670","2018-05-3 11:49:18"
"sfbkamehameha","network interface(marvell avastar wireless-ac network controller)-bytes total/sec","network interface(marvell avastar wireless-ac network controller)","bytes total/sec","marvell avastar wireless-ac network controller","0","2018-05-3 11:49:18"
"sfbkamehameha","network interface(local area connection* 11)-bytes total/sec","network interface(local area connection* 11)","bytes total/sec","local area connection* 11","0","2018-05-3 11:49:18"
"sfbkamehameha","processor(_total)-% processor time","processor(_total)","% processor time","_total","0.97","2018-05-3 11:49:19"
"sfbkamehameha","memory-available mbytes","memory","available mbytes",,"3670","2018-05-3 11:49:19"
"sfbkamehameha","network interface(marvell avastar wireless-ac network controller)-bytes total/sec","network interface(marvell avastar wireless-ac network controller)","bytes total/sec","marvell avastar wireless-ac network controller","0","2018-05-3 11:49:19"
"sfbkamehameha","network interface(local area connection* 11)-bytes total/sec","network interface(local area connection* 11)","bytes total/sec","local area connection* 11","0","2018-05-3 11:49:19"
"sfbkamehameha","processor(_total)-% processor time","processor(_total)","% processor time","_total","3.18","2018-05-3 11:49:20"
"sfbkamehameha","memory-available mbytes","memory","available mbytes",,"3673","2018-05-3 11:49:20"
"sfbkamehameha","network interface(marvell avastar wireless-ac network controller)-bytes total/sec","network interface(marvell avastar wireless-ac network controller)","bytes total/sec","marvell avastar wireless-ac network controller","0","2018-05-3 11:49:20"
"sfbkamehameha","network interface(local area connection* 11)-bytes total/sec","network interface(local area connection* 11)","bytes total/sec","local area connection* 11","0","2018-05-3 11:49:20"
