"computerName","datetime","CounterCategory","CounterName","Item","Value","WholeCounter"
"e2016site2","2018-05-5 09:31:32","physicaldisk(2)","avg. disk sec/transfer","2","0","physicaldisk(2)-avg. disk sec/transfer"
"e2016site2","2018-05-5 09:31:32","physicaldisk(3)","avg. disk sec/transfer","3","0","physicaldisk(3)-avg. disk sec/transfer"
"e2016site2","2018-05-5 09:31:32","physicaldisk(4)","avg. disk sec/transfer","4","0","physicaldisk(4)-avg. disk sec/transfer"
"e2016site2","2018-05-5 09:31:32","physicaldisk(0 c:)","avg. disk sec/transfer","0 c:","0","physicaldisk(0 c:)-avg. disk sec/transfer"
"e2016site2","2018-05-5 09:31:32","physicaldisk(_total)","avg. disk sec/transfer","_total","0","physicaldisk(_total)-avg. disk sec/transfer"
"e2016site1","2018-05-5 09:31:32","network interface(microsoft hyper-v network adapter)","bytes total/sec","microsoft hyper-v network adapter","92112.46","network interface(microsoft hyper-v network adapter)-bytes total/sec"
"e2016site1","2018-05-5 09:31:32","network interface(isatap.msftonlinerepro.com)","bytes total/sec","isatap.msftonlinerepro.com","0","network interface(isatap.msftonlinerepro.com)-bytes total/sec"
"e2016site1","2018-05-5 09:31:32","network interface(isatap.{7b6ad9dd-9da5-459a-b158-9539c74b42be})","bytes total/sec","isatap.{7b6ad9dd-9da5-459a-b158-9539c74b42be}","0","network interface(isatap.{7b6ad9dd-9da5-459a-b158-9539c74b42be})-bytes total/sec"
"e2016site2","2018-05-5 09:31:32","network interface(microsoft hyper-v network adapter)","bytes total/sec","microsoft hyper-v network adapter","78069.47","network interface(microsoft hyper-v network adapter)-bytes total/sec"
"e2016site2","2018-05-5 09:31:32","network interface(isatap.msftonlinerepro.com)","bytes total/sec","isatap.msftonlinerepro.com","0","network interface(isatap.msftonlinerepro.com)-bytes total/sec"
