"ComputerName","DateTime","CounterCategory","CounterName","Instance","Value"
"sfbkamehameha","2018-05-14 07:27:30","processor(_total)","% processor time","_total","3.82"
"sfbkamehameha","2018-05-14 07:27:30","memory","available mbytes",,"4570"
"sfbkamehameha","2018-05-14 07:27:31","processor(_total)","% processor time","_total","46.49"
"sfbkamehameha","2018-05-14 07:27:31","memory","available mbytes",,"4554"
"sfbkamehameha","2018-05-14 07:27:32","processor(_total)","% processor time","_total","15.79"
"sfbkamehameha","2018-05-14 07:27:32","memory","available mbytes",,"4568"
"sfbkamehameha","2018-05-14 07:27:33","processor(_total)","% processor time","_total","7.53"
"sfbkamehameha","2018-05-14 07:27:33","memory","available mbytes",,"4569"
"sfbkamehameha","2018-05-14 07:27:34","processor(_total)","% processor time","_total","6.52"
"sfbkamehameha","2018-05-14 07:27:34","memory","available mbytes",,"4571"
