"ComputerName","DateTime","CounterCategory","CounterName","Instance","Value"
"sfbkamehameha","2018-05-13 02:24:59","processor(_total)","% processor time","_total","22.17"
"sfbkamehameha","2018-05-13 02:24:59","memory","available mbytes",,"3148"
"sfbkamehameha","2018-05-13 02:24:59","physicaldisk(0 c:)","avg. disk sec/transfer","0 c:","0"
"sfbkamehameha","2018-05-13 02:24:59","physicaldisk(_total)","avg. disk sec/transfer","_total","0"
"sfbkamehameha","2018-05-13 02:24:59","network interface(marvell avastar wireless-ac network controller)","bytes total/sec","marvell avastar wireless-ac network controller","803.47"
"sfbkamehameha","2018-05-13 02:24:59","network interface(local area connection* 11)","bytes total/sec","local area connection* 11","0"
"sfbkamehameha","2018-05-13 02:25:00","processor(_total)","% processor time","_total","39.61"
"sfbkamehameha","2018-05-13 02:25:00","memory","available mbytes",,"3130"
"sfbkamehameha","2018-05-13 02:25:00","physicaldisk(0 c:)","avg. disk sec/transfer","0 c:","0"
"sfbkamehameha","2018-05-13 02:25:00","physicaldisk(_total)","avg. disk sec/transfer","_total","0"
"sfbkamehameha","2018-05-13 02:25:00","network interface(marvell avastar wireless-ac network controller)","bytes total/sec","marvell avastar wireless-ac network controller","1223.7"
"sfbkamehameha","2018-05-13 02:25:00","network interface(local area connection* 11)","bytes total/sec","local area connection* 11","0"
"sfbkamehameha","2018-05-13 02:25:01","processor(_total)","% processor time","_total","17.82"
"sfbkamehameha","2018-05-13 02:25:01","memory","available mbytes",,"3103"
"sfbkamehameha","2018-05-13 02:25:01","physicaldisk(0 c:)","avg. disk sec/transfer","0 c:","0"
"sfbkamehameha","2018-05-13 02:25:01","physicaldisk(_total)","avg. disk sec/transfer","_total","0"
"sfbkamehameha","2018-05-13 02:25:01","network interface(marvell avastar wireless-ac network controller)","bytes total/sec","marvell avastar wireless-ac network controller","1091.25"
"sfbkamehameha","2018-05-13 02:25:01","network interface(local area connection* 11)","bytes total/sec","local area connection* 11","0"
"sfbkamehameha","2018-05-13 02:25:02","processor(_total)","% processor time","_total","6.52"
"sfbkamehameha","2018-05-13 02:25:02","memory","available mbytes",,"3102"
"sfbkamehameha","2018-05-13 02:25:02","physicaldisk(0 c:)","avg. disk sec/transfer","0 c:","0"
"sfbkamehameha","2018-05-13 02:25:02","physicaldisk(_total)","avg. disk sec/transfer","_total","0"
"sfbkamehameha","2018-05-13 02:25:02","network interface(marvell avastar wireless-ac network controller)","bytes total/sec","marvell avastar wireless-ac network controller","998.95"
"sfbkamehameha","2018-05-13 02:25:02","network interface(local area connection* 11)","bytes total/sec","local area connection* 11","0"
"sfbkamehameha","2018-05-13 02:25:03","processor(_total)","% processor time","_total","9.1"
"sfbkamehameha","2018-05-13 02:25:03","memory","available mbytes",,"3103"
"sfbkamehameha","2018-05-13 02:25:03","physicaldisk(0 c:)","avg. disk sec/transfer","0 c:","0"
"sfbkamehameha","2018-05-13 02:25:03","physicaldisk(_total)","avg. disk sec/transfer","_total","0"
"sfbkamehameha","2018-05-13 02:25:03","network interface(marvell avastar wireless-ac network controller)","bytes total/sec","marvell avastar wireless-ac network controller","805.33"
"sfbkamehameha","2018-05-13 02:25:03","network interface(local area connection* 11)","bytes total/sec","local area connection* 11","0"
