"ComputerName","DateTime","WholeCounter","CounterCategory","CounterName","Instance","Value"
"sfbkamehameha","2018-05-12 06:59:12","\\sfbkamehameha\processor(_total)\% processor time","processor(_total)","% processor time","_total","5.66"
"sfbkamehameha","2018-05-12 06:59:12","\\sfbkamehameha\memory\available mbytes","memory","available mbytes",,"3824"
"sfbkamehameha","2018-05-12 06:59:12","\\sfbkamehameha\physicaldisk(0 c:)\avg. disk sec/transfer","physicaldisk(0 c:)","avg. disk sec/transfer","0 c:","0"
"sfbkamehameha","2018-05-12 06:59:12","\\sfbkamehameha\physicaldisk(_total)\avg. disk sec/transfer","physicaldisk(_total)","avg. disk sec/transfer","_total","0"
"sfbkamehameha","2018-05-12 06:59:12","\\sfbkamehameha\network interface(marvell avastar wireless-ac network controller)\bytes total/sec","network interface(marvell avastar wireless-ac network controller)","bytes total/sec","marvell avastar wireless-ac network controller","442.13"
"sfbkamehameha","2018-05-12 06:59:12","\\sfbkamehameha\network interface(local area connection* 11)\bytes total/sec","network interface(local area connection* 11)","bytes total/sec","local area connection* 11","0"
"sfbkamehameha","2018-05-12 06:59:13","\\sfbkamehameha\processor(_total)\% processor time","processor(_total)","% processor time","_total","35.74"
"sfbkamehameha","2018-05-12 06:59:13","\\sfbkamehameha\memory\available mbytes","memory","available mbytes",,"3824"
"sfbkamehameha","2018-05-12 06:59:13","\\sfbkamehameha\physicaldisk(0 c:)\avg. disk sec/transfer","physicaldisk(0 c:)","avg. disk sec/transfer","0 c:","0"
"sfbkamehameha","2018-05-12 06:59:13","\\sfbkamehameha\physicaldisk(_total)\avg. disk sec/transfer","physicaldisk(_total)","avg. disk sec/transfer","_total","0"
"sfbkamehameha","2018-05-12 06:59:13","\\sfbkamehameha\network interface(marvell avastar wireless-ac network controller)\bytes total/sec","network interface(marvell avastar wireless-ac network controller)","bytes total/sec","marvell avastar wireless-ac network controller","441.81"
"sfbkamehameha","2018-05-12 06:59:13","\\sfbkamehameha\network interface(local area connection* 11)\bytes total/sec","network interface(local area connection* 11)","bytes total/sec","local area connection* 11","0"
"sfbkamehameha","2018-05-12 06:59:14","\\sfbkamehameha\processor(_total)\% processor time","processor(_total)","% processor time","_total","8.39"
"sfbkamehameha","2018-05-12 06:59:14","\\sfbkamehameha\memory\available mbytes","memory","available mbytes",,"3824"
"sfbkamehameha","2018-05-12 06:59:14","\\sfbkamehameha\physicaldisk(0 c:)\avg. disk sec/transfer","physicaldisk(0 c:)","avg. disk sec/transfer","0 c:","0.01"
"sfbkamehameha","2018-05-12 06:59:14","\\sfbkamehameha\physicaldisk(_total)\avg. disk sec/transfer","physicaldisk(_total)","avg. disk sec/transfer","_total","0.01"
"sfbkamehameha","2018-05-12 06:59:14","\\sfbkamehameha\network interface(marvell avastar wireless-ac network controller)\bytes total/sec","network interface(marvell avastar wireless-ac network controller)","bytes total/sec","marvell avastar wireless-ac network controller","534.08"
"sfbkamehameha","2018-05-12 06:59:14","\\sfbkamehameha\network interface(local area connection* 11)\bytes total/sec","network interface(local area connection* 11)","bytes total/sec","local area connection* 11","0"
"sfbkamehameha","2018-05-12 06:59:16","\\sfbkamehameha\processor(_total)\% processor time","processor(_total)","% processor time","_total","8.39"
"sfbkamehameha","2018-05-12 06:59:16","\\sfbkamehameha\memory\available mbytes","memory","available mbytes",,"3826"
"sfbkamehameha","2018-05-12 06:59:16","\\sfbkamehameha\physicaldisk(0 c:)\avg. disk sec/transfer","physicaldisk(0 c:)","avg. disk sec/transfer","0 c:","0.01"
"sfbkamehameha","2018-05-12 06:59:16","\\sfbkamehameha\physicaldisk(_total)\avg. disk sec/transfer","physicaldisk(_total)","avg. disk sec/transfer","_total","0.01"
"sfbkamehameha","2018-05-12 06:59:16","\\sfbkamehameha\network interface(marvell avastar wireless-ac network controller)\bytes total/sec","network interface(marvell avastar wireless-ac network controller)","bytes total/sec","marvell avastar wireless-ac network controller","7557.88"
"sfbkamehameha","2018-05-12 06:59:16","\\sfbkamehameha\network interface(local area connection* 11)\bytes total/sec","network interface(local area connection* 11)","bytes total/sec","local area connection* 11","140.81"
"sfbkamehameha","2018-05-12 06:59:17","\\sfbkamehameha\processor(_total)\% processor time","processor(_total)","% processor time","_total","13.07"
"sfbkamehameha","2018-05-12 06:59:17","\\sfbkamehameha\memory\available mbytes","memory","available mbytes",,"3826"
"sfbkamehameha","2018-05-12 06:59:17","\\sfbkamehameha\physicaldisk(0 c:)\avg. disk sec/transfer","physicaldisk(0 c:)","avg. disk sec/transfer","0 c:","0"
"sfbkamehameha","2018-05-12 06:59:17","\\sfbkamehameha\physicaldisk(_total)\avg. disk sec/transfer","physicaldisk(_total)","avg. disk sec/transfer","_total","0"
"sfbkamehameha","2018-05-12 06:59:17","\\sfbkamehameha\network interface(marvell avastar wireless-ac network controller)\bytes total/sec","network interface(marvell avastar wireless-ac network controller)","bytes total/sec","marvell avastar wireless-ac network controller","442.37"
"sfbkamehameha","2018-05-12 06:59:17","\\sfbkamehameha\network interface(local area connection* 11)\bytes total/sec","network interface(local area connection* 11)","bytes total/sec","local area connection* 11","0"
