"ComputerName","DateTime","WholeCounter","CounterCategory","CounterName","Instance","Value"
"sfbkamehameha","2018-05-13 06:30:23","\\sfbkamehameha\memory\available mbytes","memory","available mbytes",,"2520"
"sfbkamehameha","2018-05-13 06:30:24","\\sfbkamehameha\memory\available mbytes","memory","available mbytes",,"2519"
"sfbkamehameha","2018-05-13 06:30:25","\\sfbkamehameha\memory\available mbytes","memory","available mbytes",,"2519"
"sfbkamehameha","2018-05-13 06:30:26","\\sfbkamehameha\memory\available mbytes","memory","available mbytes",,"2519"
"sfbkamehameha","2018-05-13 06:30:27","\\sfbkamehameha\memory\available mbytes","memory","available mbytes",,"2519"
