"ComputerName","DateTime","CounterCategory","CounterName","Instance","Value"
"e2016site1","2018-05-6 03:42:48","physicaldisk(0 c:)","avg. disk sec/transfer","0 c:","0"
"e2016site1","2018-05-6 03:42:48","physicaldisk(_total)","avg. disk sec/transfer","_total","0"
"e2016site2","2018-05-6 03:42:48","physicaldisk(1)","avg. disk sec/transfer","1","0"
"e2016site2","2018-05-6 03:42:48","physicaldisk(2)","avg. disk sec/transfer","2","0"
"e2016site2","2018-05-6 03:42:48","physicaldisk(3)","avg. disk sec/transfer","3","0"
"e2016site2","2018-05-6 03:42:48","physicaldisk(4)","avg. disk sec/transfer","4","0"
"e2016site2","2018-05-6 03:42:48","physicaldisk(0 c:)","avg. disk sec/transfer","0 c:","0"
"e2016site2","2018-05-6 03:42:48","physicaldisk(_total)","avg. disk sec/transfer","_total","0"
"e2016site1","2018-05-6 03:42:48","network interface(microsoft hyper-v network adapter)","bytes total/sec","microsoft hyper-v network adapter","51058.38"
"e2016site1","2018-05-6 03:42:48","network interface(isatap.msftonlinerepro.com)","bytes total/sec","isatap.msftonlinerepro.com","0"
"e2016site1","2018-05-6 03:42:48","network interface(isatap.{7b6ad9dd-9da5-459a-b158-9539c74b42be})","bytes total/sec","isatap.{7b6ad9dd-9da5-459a-b158-9539c74b42be}","0"
"e2016site2","2018-05-6 03:42:48","network interface(microsoft hyper-v network adapter)","bytes total/sec","microsoft hyper-v network adapter","54518.62"
"e2016site2","2018-05-6 03:42:48","network interface(isatap.msftonlinerepro.com)","bytes total/sec","isatap.msftonlinerepro.com","0"
"e2016site2","2018-05-6 03:42:48","network interface(isatap.{48fe05f3-786e-4756-b1b9-0c81877942d6})","bytes total/sec","isatap.{48fe05f3-786e-4756-b1b9-0c81877942d6}","0"
"e2016site1","2018-05-6 03:42:49","processor(_total)","% processor time","_total","0"
"e2016site2","2018-05-6 03:42:49","processor(_total)","% processor time","_total","0.39"
"e2016site1","2018-05-6 03:42:49","msexchange rpcclientaccess","rpc averaged latency",,"16"
"e2016site2","2018-05-6 03:42:49","msexchange rpcclientaccess","rpc averaged latency",,"24"
"e2016site1","2018-05-6 03:42:49","msexchangeis store(arbmonitdiscadmin)","rpc average latency","arbmonitdiscadmin","0"
"e2016site1","2018-05-6 03:42:49","msexchangeis store(mailbox database 2088168334)","rpc average latency","mailbox database 2088168334","0"
"e2016site1","2018-05-6 03:42:49","msexchangeis store(_total)","rpc average latency","_total","0"
"e2016site2","2018-05-6 03:42:49","msexchangeis store(dag1-db4)","rpc average latency","dag1-db4","0"
"e2016site2","2018-05-6 03:42:49","msexchangeis store(dag1-db2)","rpc average latency","dag1-db2","0"
"e2016site2","2018-05-6 03:42:49","msexchangeis store(systemmailboxes)","rpc average latency","systemmailboxes","0"
"e2016site2","2018-05-6 03:42:49","msexchangeis store(dag1-db1)","rpc average latency","dag1-db1","0"
"e2016site2","2018-05-6 03:42:49","msexchangeis store(_total)","rpc average latency","_total","0"
"e2016site1","2018-05-6 03:42:49","msexchange rpcclientaccess","rpc requests",,"0"
"e2016site2","2018-05-6 03:42:49","msexchange rpcclientaccess","rpc requests",,"0"
"e2016site1","2018-05-6 03:42:49","memory","available mbytes",,"1346"
"e2016site2","2018-05-6 03:42:49","memory","available mbytes",,"1112"
"e2016site1","2018-05-6 03:42:49","physicaldisk(1)","avg. disk sec/transfer","1","0"
"e2016site1","2018-05-6 03:42:49","physicaldisk(2)","avg. disk sec/transfer","2","0"
"e2016site1","2018-05-6 03:42:49","physicaldisk(3)","avg. disk sec/transfer","3","0"
"e2016site1","2018-05-6 03:42:49","physicaldisk(4)","avg. disk sec/transfer","4","0"
"e2016site1","2018-05-6 03:42:49","physicaldisk(0 c:)","avg. disk sec/transfer","0 c:","0"
"e2016site1","2018-05-6 03:42:49","physicaldisk(_total)","avg. disk sec/transfer","_total","0"
"e2016site2","2018-05-6 03:42:49","physicaldisk(1)","avg. disk sec/transfer","1","0"
"e2016site2","2018-05-6 03:42:49","physicaldisk(2)","avg. disk sec/transfer","2","0"
"e2016site2","2018-05-6 03:42:49","physicaldisk(3)","avg. disk sec/transfer","3","0"
"e2016site2","2018-05-6 03:42:49","physicaldisk(4)","avg. disk sec/transfer","4","0"
"e2016site2","2018-05-6 03:42:49","physicaldisk(0 c:)","avg. disk sec/transfer","0 c:","0"
"e2016site2","2018-05-6 03:42:49","physicaldisk(_total)","avg. disk sec/transfer","_total","0"
"e2016site1","2018-05-6 03:42:49","network interface(microsoft hyper-v network adapter)","bytes total/sec","microsoft hyper-v network adapter","50511.64"
"e2016site1","2018-05-6 03:42:49","network interface(isatap.msftonlinerepro.com)","bytes total/sec","isatap.msftonlinerepro.com","0"
"e2016site1","2018-05-6 03:42:49","network interface(isatap.{7b6ad9dd-9da5-459a-b158-9539c74b42be})","bytes total/sec","isatap.{7b6ad9dd-9da5-459a-b158-9539c74b42be}","0"
"e2016site2","2018-05-6 03:42:49","network interface(microsoft hyper-v network adapter)","bytes total/sec","microsoft hyper-v network adapter","44170.61"
"e2016site2","2018-05-6 03:42:49","network interface(isatap.msftonlinerepro.com)","bytes total/sec","isatap.msftonlinerepro.com","0"
"e2016site2","2018-05-6 03:42:49","network interface(isatap.{48fe05f3-786e-4756-b1b9-0c81877942d6})","bytes total/sec","isatap.{48fe05f3-786e-4756-b1b9-0c81877942d6}","0"
"e2016site1","2018-05-6 03:42:50","processor(_total)","% processor time","_total","0"
"e2016site2","2018-05-6 03:42:50","processor(_total)","% processor time","_total","2.31"
"e2016site1","2018-05-6 03:42:50","msexchange rpcclientaccess","rpc averaged latency",,"16"
"e2016site2","2018-05-6 03:42:50","msexchange rpcclientaccess","rpc averaged latency",,"24"
"e2016site1","2018-05-6 03:42:50","msexchangeis store(arbmonitdiscadmin)","rpc average latency","arbmonitdiscadmin","0"
"e2016site1","2018-05-6 03:42:50","msexchangeis store(mailbox database 2088168334)","rpc average latency","mailbox database 2088168334","0"
"e2016site1","2018-05-6 03:42:50","msexchangeis store(_total)","rpc average latency","_total","0"
"e2016site2","2018-05-6 03:42:50","msexchangeis store(dag1-db4)","rpc average latency","dag1-db4","0"
"e2016site2","2018-05-6 03:42:50","msexchangeis store(dag1-db2)","rpc average latency","dag1-db2","0"
"e2016site2","2018-05-6 03:42:50","msexchangeis store(systemmailboxes)","rpc average latency","systemmailboxes","0.14"
"e2016site2","2018-05-6 03:42:50","msexchangeis store(dag1-db1)","rpc average latency","dag1-db1","0"
"e2016site2","2018-05-6 03:42:50","msexchangeis store(_total)","rpc average latency","_total","0.14"
"e2016site1","2018-05-6 03:42:50","msexchange rpcclientaccess","rpc requests",,"0"
"e2016site2","2018-05-6 03:42:50","msexchange rpcclientaccess","rpc requests",,"0"
"e2016site1","2018-05-6 03:42:50","memory","available mbytes",,"1346"
"e2016site2","2018-05-6 03:42:50","memory","available mbytes",,"1111"
"e2016site1","2018-05-6 03:42:50","physicaldisk(1)","avg. disk sec/transfer","1","0"
"e2016site1","2018-05-6 03:42:50","physicaldisk(2)","avg. disk sec/transfer","2","0"
